#hmm_acc	iso_type	hmm_name	hmm_com_name	hmm_len	trusted_cutoff	noise_cutoff	trusted_cutoff2	noise_cutoff2
PF00032	PFAM_equivalog_domain	Cytochrom_B_C	Cytochrome b(C-terminal)/b6/petD	112	20.00	19.90	20.00	19.90
PF00033	subfamily	Cytochrom_B_N	cytochrome b(N-terminal)/b6/petB	210	-41.90	-42.00	-41.90	-42.00
PF00034	subfamily	Cytochrom_C	cytochrome c	114	11.70	11.60	11.70	11.60
PF00035	domain	dsrm	Double-stranded RNA binding motif	67	25.00	24.40	24.70	24.40
PF00036	domain	efhand	EF hand	29	21.70	21.60	21.70	21.60
PF00037	domain	Fer4	4Fe-4S binding domain	24	15.50	15.40	15.50	15.40
PF00038	domain	Filament	Intermediate filament protein	354	-105.30	-108.30	-105.30	-108.30
PF00039	domain	fn1	Fibronectin type I domain	41	25.00	23.80	25.00	23.80
PF00040	domain	fn2	Fibronectin type II domain	42	37.20	23.00	26.00	23.00
PF00041	domain	fn3	fibronectin type III domain	84	8.00	7.90	7.20	7.90
PF00042	domain	Globin	globin	115	-8.80	-8.90	-8.80	-8.90
PF00043	domain	GST_C	glutathione S-transferase, C-terminal domain	98	22.30	22.20	22.30	22.20
PF00044	subfamily_domain	Gp_dh_N	glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	161	-72.80	-74.60	-72.80	-74.60
PF00045	domain	Hemopexin	Hemopexin	50	15.90	14.20	0.00	14.20
PF00046	domain	Homeobox	Homeobox domain	57	-4.10	-4.20	-4.10	-4.20
PF00047	domain	ig	Immunoglobulin domain	66	25.10	25.00	13.40	25.00
PF00048	superfamily	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like	70	0.50	0.20	0.50	0.20
PF00049	superfamily	Insulin	Insulin/IGF/Relaxin family	123	10.60	9.50	10.60	9.50
PF00050	domain	Kazal_1	Kazal-type serine protease inhibitor domain	61	3.50	2.50	3.00	2.80
PF00051	domain	Kringle	Kringle domain	85	-11.40	-18.70	-11.40	-18.70
PF00052	domain	Laminin_B	Laminin B (Domain IV)	150	22.20	19.50	22.20	19.50
PF00053	domain	Laminin_EGF	Laminin EGF-like (Domains III and V)	59	6.00	5.70	5.80	5.70
PF00054	domain	Laminin_G_1	Laminin G domain	159	26.10	23.30	25.10	24.80
PF00055	domain	Laminin_N	Laminin N-terminal (Domain VI)	264	16.70	9.80	16.70	9.80
PF00056	domain	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain	153	-30.10	-30.30	-30.10	-30.30
PF00057	domain	Ldl_recept_a	Low-density lipoprotein receptor domain class A	40	29.40	28.80	28.90	28.80
PF00058	domain	Ldl_recept_b	Low-density lipoprotein receptor repeat class B	47	25.00	24.70	0.10	20.70
PF00059	domain	Lectin_C	Lectin C-type domain	126	-10.10	-10.60	-10.10	-10.60
PF00060	subfamily_domain	Lig_chan	Ligand-gated ion channel	304	23.60	22.90	23.60	22.90
PF00061	superfamily	Lipocalin	Lipocalin / cytosolic fatty-acid binding protein family	151	7.20	7.10	7.20	7.10
PF00062	superfamily	Lys	C-type lysozyme/alpha-lactalbumin family	128	-42.20	-47.90	-42.20	-47.90
PF00063	domain	Myosin_head	Myosin head (motor domain)	791	-360.00	-375.00	-360.00	-375.00
PF00064	PFAM_equivalog	Neur	neuraminidase	485	-203.90	-254.10	-203.90	-254.10
PF00065	superfamily	neur_chan	Neurotransmitter-gated ion-channel	529	14.60	12.80	0.30	12.10
PF00066	domain	Notch	Notch (DSL) domain	42	26.50	25.60	26.50	26.00
PF00067	superfamily	p450	Cytochrome P450	504	-104.90	-105.20	-104.90	-105.20
PF00068	subfamily	Phospholip_A2_1	Phospholipase A2	127	-11.00	-13.10	-11.00	-13.10
PF00069	domain	Pkinase	protein kinase domain	287	70.30	70.20	70.30	70.20
PF00070	domain	Pyr_redox	pyridine nucleotide-disulfide oxidoreductase	102	5.00	4.90	5.00	4.90
PF00071	subfamily	Ras	Ras family	174	-69.80	-70.00	-69.80	-70.00
PF00072	domain	Response_reg	response regulator receiver domain	117	4.00	3.90	4.00	3.90
PF00073	domain	Rhv	picornavirus capsid protein	219	-25.80	-25.90	-25.80	-25.90
PF00074	subfamily	RnaseA	Pancreatic ribonuclease	132	27.50	17.10	27.50	17.10
PF00075	PFAM_equivalog	RnaseH	ribonuclease HI	164	7.50	7.40	7.50	7.40
PF00076	domain	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	74	17.70	17.60	17.70	17.60
PF00077	subfamily_domain	RVP	Retroviral aspartyl protease	112	1.00	0.90	1.00	0.90
PF00078	subfamily_domain	RVT_1	RNA-directed DNA polymerase	242	32.00	31.90	32.00	31.90
PF00079	superfamily	Serpin	Serpin (serine proteinase inhibitor)	397	-138.00	-142.30	-138.00	-142.30
PF00080	PFAM_equivalog	Sod_Cu	copper/zinc superoxide dismutase	161	-51.10	-52.60	-51.10	-52.60
PF00081	subfamily_domain	Sod_Fe_N	iron/manganese superoxide dismutases, alpha-hairpin domain	90	7.10	5.90	7.10	5.90
PF00082	subfamily_domain	Peptidase_S8	peptidase, S8/S53 family	352	-51.00	-51.10	-51.00	-51.10
PF00083	superfamily	Sugar_tr	transporter, major facilitator superfamily	489	-85.00	-85.10	-85.00	-85.10
PF00084	domain	Sushi	Sushi domain (SCR repeat)	65	20.70	20.20	20.70	20.60
PF00085	domain	Thioredoxin	thioredoxin	109	-25.70	-25.80	-25.70	-25.80
PF00086	domain	Thyroglobulin_1	Thyroglobulin type-1 repeat	81	6.20	1.60	2.40	1.60
PF00087	subfamily	Toxin_1	Snake toxin	69	-2.90	-3.70	-2.90	-3.70
PF00088	domain	Trefoil	Trefoil (P-type) domain	43	12.70	11.90	12.70	11.90
PF00089	domain	Trypsin	trypsin	257	-33.10	-33.40	-33.10	-33.40
PF00090	domain	TSP_1	Thrombospondin type 1 domain	55	15.00	14.70	0.10	14.70
PF00091	domain	Tubulin	tubulin/FtsZ family, GTPase domain	223	-55.60	-56.20	-55.60	-56.20
PF00092	domain	VWA	von Willebrand factor type A domain	195	-4.40	-4.50	-3.90	-4.00
PF00093	domain	VWC	von Willebrand factor type C domain	84	24.80	24.50	24.80	24.70
PF00094	domain	VWD	von Willebrand factor type D domain	167	17.70	16.50	17.70	16.50
PF00095	domain	WAP	WAP-type (Whey Acidic Protein) 'four-disulfide core'	48	11.10	10.90	1.20	10.60
PF00096	domain	zf-C2H2	Zinc finger, C2H2 type	24	19.00	18.90	17.70	18.90
PF00097	domain	zf-C3HC4	zinc finger, C3HC4 type (RING finger)	50	16.00	15.90	16.00	15.90
PF00098	domain	zf-CCHC	Zinc knuckle	18	17.90	17.80	17.90	17.80
PF00100	domain	Zona_pellucida	Zona pellucida-like domain	299	-14.20	-20.90	-14.20	-20.90
PF00101	PFAM_equivalog	RuBisCO_small	ribulose bisphosphate carboxylase, small subunit	111	-20.10	-20.30	-20.10	-20.30
PF00102	PFAM_equivalog_domain	Y_phosphatase	Protein-tyrosine phosphatase	275	-57.10	-57.20	-57.10	-57.20
PF00103	superfamily	Hormone_1	Somatotropin hormone family	234	-64.00	-69.90	-64.00	-69.90
PF00104	domain	Hormone_recep	Ligand-binding domain of nuclear hormone receptor	198	12.00	11.50	12.00	11.50
PF00105	domain	zf-C4	Zinc finger, C4 type (two domains)	77	-23.90	-25.40	-23.90	-25.40
PF00106	superfamily	adh_short	oxidoreductase, short chain dehydrogenase/reductase family	181	-40.20	-40.30	-40.20	-40.30
PF00107	superfamily	ADH_zinc_N	oxidoreductase, zinc-binding dehydrogenase family	158	23.80	23.70	23.80	23.70
PF00108	subfamily	Thiolase_N	thiolase, N-terminal domain	272	-129.40	-129.60	-129.40	-129.60
PF00109	domain	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain	300	-73.20	-74.20	-73.20	-74.20
PF00110	subfamily	wnt	wnt family	352	-197.00	-197.20	-197.00	-197.20
PF00111	domain	Fer2	2Fe-2S iron-sulfur cluster binding domain	95	7.10	6.90	7.10	6.90
PF00112	subfamily	Peptidase_C1	Papain family cysteine protease	286	-115.30	-116.40	-115.30	-116.40
PF00113	PFAM_equivalog_domain	Enolase_C	Enolase, C-terminal TIM barrel domain	298	-68.00	-74.80	-68.00	-74.80
PF00114	subfamily	Pilin	Pilin (bacterial filament)	148	-5.70	-5.90	-5.70	-5.90
PF00115	superfamily	COX1	cytochrome c and quinol oxidase polypeptide I	490	-265.90	-266.00	-265.90	-266.00
PF00116	PFAM_equivalog_domain	COX2	Cytochrome C oxidase subunit II, periplasmic domain	121	-21.30	-22.70	-21.30	-22.70
PF00117	domain	GATase	class I glutamine amidotransferase	268	-38.10	-38.20	-38.10	-38.20
PF00118	superfamily	Cpn60_TCP1	TCP-1/cpn60 chaperonin family	538	-223.40	-224.20	-223.40	-224.20
PF00119	PFAM_equivalog_domain	ATP-synt_A	ATP synthase, A subunit	250	-63.60	-64.00	-63.60	-64.00
PF00120	subfamily_domain	Gln-synt_C	glutamate--ammonia ligase, catalytic domain	305	-123.70	-124.20	-123.70	-124.20
PF00121	PFAM_equivalog	TIM	triosephosphate isomerase	252	-96.60	-108.80	-96.60	-108.80
PF00122	subfamily	E1-E2_ATPase	E1-E2 ATPase	245	-83.20	-84.10	-83.20	-84.10
PF00123	domain	Hormone_2	Peptide hormone	28	28.80	23.30	27.00	23.30
PF00124	subfamily	Photo_RC	Photosynthetic reaction center protein	311	-78.90	-80.90	-78.90	-80.90
PF00125	superfamily	Histone	Core histone H2A/H2B/H3/H4	75	17.50	17.30	17.50	17.30
PF00126	domain	HTH_1	transcriptional regulator, LysR family	68	20.40	19.70	20.40	19.70
PF00127	superfamily	Copper-bind	Copper binding proteins, plastocyanin/azurin family	129	-7.70	-8.00	-7.70	-8.00
PF00128	subfamily	Alpha-amylase	alpha amylase, catalytic domain	463	-92.50	-92.80	-92.50	-92.80
PF00129	domain	MHC_I	Class I Histocompatibility antigen, domains alpha 1 and 2	180	-50.90	-51.10	-50.90	-51.10
PF00130	domain	C1_1	Phorbol esters/diacylglycerol binding domain (C1 domain)	55	11.50	11.30	11.50	11.30
PF00131	subfamily	Metallothio	Metallothionein	68	16.50	14.20	15.50	14.20
PF00132	repeat	Hexapep	bacterial transferase hexapeptide (three repeats)	18	20.00	19.90	0.30	19.90
PF00133	superfamily	tRNA-synt_1	tRNA ligases class I (I, L, M and V)	724	-269.10	-270.60	-269.10	-270.60
PF00134	PFAM_equivalog	Cyclin_N	cyclin, N-terminal domain	146	-14.70	-15.20	-14.70	-15.20
PF00135	superfamily	COesterase	Carboxylesterase	592	-187.60	-198.60	-187.60	-198.60
PF00136	superfamily	DNA_pol_B	DNA polymerase family B	537	-159.70	-160.70	-159.70	-160.70
PF00137	domain	ATP-synt_C	ATP synthase subunit C	70	5.30	3.60	5.20	4.90
PF00138	domain	Lectin_legA	Legume lectins alpha domain	50	19.30	18.90	19.30	18.90
PF00139	domain	Lectin_legB	Legume lectins beta domain	268	-109.80	-111.80	-109.80	-111.80
PF00140	superfamily	Sigma70_r1_2	Sigma-70 factor	37	25.10	24.60	25.10	24.60
PF00141	superfamily	peroxidase	peroxidase	361	-8.40	-11.00	-8.40	-11.00
PF00142	superfamily	Fer4_NifH	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	281	-32.40	-32.60	-32.40	-32.60
PF00143	domain	Interferon	Interferon alpha/beta domain	188	-53.10	-59.30	-53.10	-59.30
PF00144	PFAM_equivalog	Beta-lactamase	beta-lactamase	386	-40.60	-40.70	-40.60	-40.70
PF00145	superfamily	DNA_methylase	C-5 cytosine-specific DNA methylase	418	-118.60	-129.00	-118.60	-129.00
PF00146	superfamily	NADHdh	NADH dehydrogenase	319	-133.00	-133.10	-133.00	-133.10
PF00147	domain	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain	272	-78.60	-85.20	-78.60	-85.20
PF00148	superfamily	Oxidored_nitro	oxidoreductase, nitrogenase component 1	465	-135.60	-136.40	-135.60	-136.40
PF00149	superfamily	Metallophos	Ser/Thr phosphatase family protein	124	22.00	21.90	22.00	21.90
PF00150	subfamily	Cellulase	cellulase (glycosyl hydrolase family 5)	378	-49.20	-49.50	-49.20	-49.50
PF00151	superfamily	Lipase	Lipase	373	-147.40	-152.70	-147.40	-152.70
PF00152	subfamily_domain	tRNA-synt_2	tRNA ligases class II (D, K and N)	386	-166.90	-169.40	-166.90	-169.40
PF00153	superfamily	Mito_carr	Mitochondrial carrier protein	100	12.20	11.80	0.00	11.80
PF00154	PFAM_equivalog	RecA	protein RecA	326	-100.20	-101.00	-100.20	-101.00
PF00155	superfamily	Aminotran_1_2	aminotransferase, class I/II	413	-57.50	-57.60	-57.50	-57.60
PF00156	domain	Pribosyltran	phosphoribosyl transferase domain	147	2.00	1.90	2.00	1.90
PF00157	domain	Pou	Pou domain - N-terminal to homeobox domain	78	6.20	1.10	6.20	1.10
PF00158	domain	Sigma54_activat	Sigma-54 interaction domain	223	-94.60	-96.40	-94.60	-96.40
PF00159	superfamily	Hormone_3	Pancreatic hormone peptide	39	42.60	15.00	42.60	15.00
PF00160	domain	Pro_isomerase	peptidyl-prolyl cis-trans isomerase, cyclophilin-type	178	-36.80	-37.10	-36.80	-37.10
PF00161	subfamily	RIP	Ribosome inactivating protein	303	-44.80	-56.10	-44.80	-56.10
PF00162	PFAM_equivalog	PGK	phosphoglycerate kinase	424	-15.70	-39.40	-15.70	-39.40
PF00163	domain	Ribosomal_S4	Ribosomal protein S4/S9 N-terminal domain	110	25.10	24.90	25.10	24.90
PF00164	superfamily	Ribosomal_S12	Ribosomal protein S12	141	-10.30	-17.60	-10.30	-17.60
PF00165	domain	HTH_AraC	transcriptional regulator, AraC family	49	22.00	21.90	22.00	21.90
PF00166	PFAM_equivalog	Cpn10	chaperonin GroS	105	-6.40	-8.00	-6.40	-8.00
PF00167	superfamily	FGF	Fibroblast growth factor	139	-37.10	-38.90	-37.10	-38.90
PF00168	domain	C2	C2 domain	88	3.70	3.60	3.70	3.60
PF00169	domain	PH	PH domain	92	25.10	25.00	25.10	25.00
PF00170	domain	bZIP_1	bZIP transcription factor	64	24.80	24.70	24.80	24.70
PF00171	superfamily	Aldedh	aldehyde dehydrogenase (NAD) family protein	479	-207.60	-208.30	-207.60	-208.30
PF00172	domain	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain	44	12.00	11.90	12.00	11.90
PF00173	domain	Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain	81	4.50	3.90	4.40	3.90
PF00174	domain	Oxidored_molyb	Oxidoreductase molybdopterin binding domain	201	-39.00	-39.90	-39.00	-39.90
PF00175	domain	NAD_binding_1	oxidoreductase NAD-binding domain	124	-3.80	-4.00	-3.80	-4.00
PF00176	domain	SNF2_N	SNF2 family N-terminal domain	355	-72.00	-72.40	-72.00	-72.40
PF00177	PFAM_equivalog	Ribosomal_S7	ribosomal protein S7p/S5e	167	-61.90	-64.60	-61.90	-64.60
PF00178	domain	Ets	Ets-domain	89	-8.20	-11.90	-8.20	-11.90
PF00179	subfamily	UQ_con	Ubiquitin-conjugating enzyme	165	-29.70	-31.10	-29.70	-31.10
PF00180	superfamily	Iso_dh	dehydrogenase, isocitrate/isopropylmalate family	393	-89.30	-101.50	-89.30	-101.50
PF00181	PFAM_equivalog_domain	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain	81	17.70	16.40	17.70	16.40
PF00182	subfamily	Glyco_hydro_19	Chitinase class I	233	-88.80	-88.90	-88.80	-88.90
PF00183	domain	HSP90	Hsp90 protein	550	-276.70	-283.70	-276.70	-283.70
PF00184	domain	Hormone_5	Neurohypophysial hormones, C-terminal Domain	79	50.90	-9.00	50.90	-9.00
PF00185	domain	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	174	-41.50	-44.00	-41.50	-44.00
PF00186	PFAM_equivalog	DHFR_1	dihydrofolate reductase	216	12.10	4.40	12.10	4.40
PF00187	domain	Chitin_bind_1	Chitin recognition protein	40	25.80	25.40	25.80	25.50
PF00188	subfamily	SCP	SCP-like extracellular protein	175	10.10	9.40	10.10	9.40
PF00189	PFAM_equivalog_domain	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain	89	25.30	22.70	25.30	22.70
PF00190	superfamily	Cupin_1	Cupin	182	-13.00	-13.10	-13.00	-13.10
PF00191	domain	Annexin	Annexin	66	9.20	6.70	1.10	6.70
PF00192	subfamily	chitinase_2	Chitinase, family 2	319	12.10	10.70	11.80	10.80
PF00193	domain	Xlink	Extracellular link domain	104	-20.90	-29.40	-20.90	-29.40
PF00194	domain	Carb_anhydrase	carbonate dehydratase, eukaryotic-type	280	-104.40	-108.00	-104.40	-108.00
PF00195	domain	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain	227	-70.10	-72.00	-70.10	-72.00
PF00196	domain	GerE	transcriptional regulator, LuxR family	58	6.10	6.00	6.10	6.00
PF00197	superfamily	Kunitz_legume	Trypsin and protease inhibitor	199	-15.00	-55.40	-15.00	-55.40
PF00198	domain	2-oxoacid_dh	2-oxo acid dehydrogenases acyltransferase (catalytic domain)	233	-105.90	-112.40	-105.90	-112.40
PF00199	PFAM_equivalog_domain	Catalase	catalase	390	-227.60	-229.50	-227.60	-229.50
PF00200	domain	Disintegrin	Disintegrin	80	-22.10	-32.10	-22.10	-32.10
PF00201	superfamily	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase	507	-150.90	-151.10	-150.90	-151.10
PF00202	superfamily	Aminotran_3	aminotransferase, class III	398	-206.10	-206.20	-206.10	-206.20
PF00203	superfamily	Ribosomal_S19	ribosomal protein S19	82	11.90	9.20	11.90	9.20
PF00204	subfamily_domain	DNA_gyraseB	DNA topoisomerase II (N-terminal region)	187	-39.60	-40.30	-39.60	-40.30
PF00205	domain	TPP_enzyme_M	thiamine pyrophosphate enzyme, central domain	149	-15.50	-15.80	-7.70	-8.30
PF00206	superfamily	Lyase_1	Lyase	340	-104.40	-116.70	-104.40	-116.70
PF00207	domain	A2M	Alpha-2-macroglobulin family	106	9.30	1.70	9.30	1.70
PF00208	superfamily	ELFV_dehydrog	glutamate/leucine/phenylalanine/valine dehydrogenase	275	-22.70	-26.50	-22.70	-26.50
PF00209	superfamily	SNF	Sodium:neurotransmitter symporter family	624	-354.20	-367.30	-354.20	-367.30
PF00210	subfamily	Ferritin	ferritin-like domain	155	-9.80	-10.20	-9.80	-10.20
PF00211	domain	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain	223	-23.70	-23.90	-23.70	-23.90
PF00212	subfamily	ANP	Atrial natriuretic peptide	104	5.50	-0.50	5.50	-0.50
PF00213	PFAM_equivalog_domain	OSCP	ATP synthase F1, delta subunit	176	-32.10	-34.30	-32.10	-34.30
PF00214	domain	Calc_CGRP_IAPP	Calcitonin / CGRP / IAPP family	42	27.00	23.40	27.00	23.40
PF00215	domain	OMPdecase	Orotidine 5'-phosphate decarboxylase/HUMPS family	275	-45.40	-45.70	-45.40	-45.70
PF00216	superfamily	Bac_DNA_binding	DNA-binding protein HU	97	4.70	2.60	4.70	2.60
PF00217	domain	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain	275	-133.00	-145.80	-133.00	-145.80
PF00218	PFAM_equivalog_domain	IGPS	indole-3-glycerol phosphate synthase	271	-122.40	-130.30	-122.40	-130.30
PF00219	subfamily_domain	IGFBP	Insulin-like growth factor binding protein	82	25.80	22.70	25.80	22.70
PF00220	domain	Hormone_4	Neurohypophysial hormones, N-terminal Domain	9	14.50	14.40	14.50	14.30
PF00221	subfamily	PAL	phenylalanine and histidine ammonia-lyase	512	-191.50	-214.50	-191.50	-214.50
PF00222	superfamily	aminotran_2	aminotransferase, class II	303	15.20	14.70	15.20	14.70
PF00223	superfamily	PsaA_PsaB	Photosystem I psaA and psaB proteins	762	-160.50	-163.10	-160.50	-163.10
PF00224	PFAM_equivalog_domain	PK	Pyruvate kinase, barrel domain	358	-238.20	-250.00	-238.20	-250.00
PF00225	domain	Kinesin	Kinesin motor domain	417	-134.80	-135.20	-134.80	-135.20
PF00226	domain	DnaJ	DnaJ domain	76	-8.00	-8.10	-8.00	-8.10
PF00227	superfamily	Proteasome	peptidase, T1 family	194	-36.40	-36.80	-36.40	-36.80
PF00228	subfamily	Bowman-Birk_leg	Bowman-Birk serine protease inhibitor family	26	33.30	32.60	0.90	31.40
PF00229	superfamily	TNF	TNF(Tumor Necrosis Factor) family	142	5.90	1.20	5.90	1.20
PF00230	superfamily	MIP	transporter, major intrinsic protein (MIP) family	263	-61.00	-62.70	-61.00	-62.70
PF00231	PFAM_equivalog	ATP-synt	ATP synthase F1, gamma subunit	322	-131.20	-135.70	-131.20	-135.70
PF00232	subfamily_domain	Glyco_hydro_1	glycosyl hydrolase, family 1	515	-301.10	-308.60	-301.10	-308.60
PF00233	PFAM_equivalog_domain	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase	257	-78.80	-82.40	-78.80	-82.40
PF00234	domain	Tryp_alpha_amyl	Protease inhibitor/seed storage/LTP family	127	-0.10	-0.30	-0.10	-0.30
PF00235	PFAM	Profilin	Profilin	153	31.70	21.90	31.70	21.90
PF00236	subfamily	Hormone_6	glycoprotein hormone	96	31.70	3.90	31.70	3.90
PF00237	subfamily	Ribosomal_L22	Ribosomal protein L22p/L17e	136	-20.10	-22.70	-20.10	-22.70
PF00238	subfamily	Ribosomal_L14	Ribosomal protein L14p/L23e	133	-7.30	-10.90	-7.30	-10.90
PF00239	domain	Resolvase	resolvase, N terminal domain	156	-11.30	-11.90	-11.30	-11.90
PF00240	domain	ubiquitin	Ubiquitin family	78	19.40	19.30	19.40	19.30
PF00241	PFAM	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein	145	-4.70	-5.00	-4.70	-5.00
PF00242	domain	DNA_pol_viral_N	DNA polymerase (viral) N-terminal domain	421	-36.50	-59.20	-36.50	-59.20
PF00243	subfamily	NGF	Nerve growth factor family	117	-29.40	-38.40	-29.40	-38.40
PF00244	superfamily	14-3-3	14-3-3 protein	236	29.40	24.30	29.40	24.30
PF00245	subfamily	Alk_phosphatase	alkaline phosphatase family protein	506	-152.40	-177.00	-152.40	-177.00
PF00246	superfamily	Peptidase_M14	zinc carboxypeptidase	323	35.20	34.30	35.20	34.30
PF00248	superfamily	Aldo_ket_red	oxidoreductase, aldo/keto reductase family	358	-95.40	-97.20	-95.40	-97.20
PF00249	domain	Myb_DNA-binding	Myb-like DNA-binding domain	65	19.10	18.90	14.00	18.90
PF00250	domain	Fork_head	Fork head domain	111	-3.50	-7.90	-3.50	-7.90
PF00251	superfamily	Glyco_hydro_32N	glycosyl hydrolases family 32	387	-196.90	-197.10	-196.90	-197.10
PF00252	PFAM_equivalog	Ribosomal_L16	ribosomal protein L16	158	-34.30	-34.70	-34.30	-34.70
PF00253	PFAM_equivalog	Ribosomal_S14	ribosomal protein S14p/S29e	57	12.50	5.10	12.50	5.10
PF00254	domain	FKBP_C	peptidyl-prolyl cis-trans isomerase, FKBP-type	111	-1.60	-1.80	-1.60	-1.80
PF00255	subfamily	GSHPx	glutathione peroxidase	116	-13.10	-17.80	-13.10	-17.80
PF00256	subfamily_domain	L15	ribosomal protein L15	33	25.30	24.80	25.30	24.80
PF00257	PFAM	Dehydrin	Dehydrin	265	-4.20	-5.50	-4.20	-5.50
PF00258	domain	Flavodoxin_1	flavodoxin	170	6.60	6.20	6.60	6.20
PF00259	PFAM_equivalog	Xylose_isom	xylose isomerase	418	-154.50	-178.50	-154.50	-178.50
PF00260	PFAM_equivalog	Protamine_P1	protamine P1	53	11.30	9.40	11.30	9.40
PF00261	subfamily	Tropomyosin	Tropomyosin	237	-19.80	-23.80	-19.80	-23.80
PF00262	superfamily	Calreticulin	Calreticulin family	388	-173.50	-202.60	-173.50	-202.60
PF00263	subfamily_domain	Secretin	Bacterial type II and III secretion system protein	252	31.10	24.70	31.10	24.70
PF00264	domain	Tyrosinase	Common central domain of tyrosinase	423	-101.30	-101.80	-101.30	-101.80
PF00265	PFAM_equivalog_domain	TK	thymidine kinase	188	-32.10	-33.20	-32.10	-33.20
PF00266	superfamily	Aminotran_5	aminotransferase, class V	399	-164.40	-164.50	-164.40	-164.50
PF00267	superfamily	Porin_1	Gram-negative porin	359	-112.00	-112.30	-112.00	-112.30
PF00268	PFAM_equivalog_domain	Ribonuc_red_sm	ribonucleoside-diphosphate reductase, beta subunit	296	-113.40	-115.20	-113.40	-115.20
PF00269	superfamily	SASP	Small, acid-soluble spore proteins, alpha/beta type	61	25.20	22.30	25.20	22.30
